,text,2nd best prediction,2nd best prob,title prob,gender_name,title
42,"Dr. Charu Gupta practices at Pearl Dental Clinic in Vashi, Navi Mumbai. She completed BDS from Mumbai University Of Dental Sciences. She is a member of Indian Dental Association. Some of the services provided by the doctor are: Acrylic Partial Denture and Impaction / Impacted Tooth Extraction etc.",surgeon,0.03,0.97,female,dentist
43,"She is currently practising at Suhas Multispecality Dental Hospital in Secunderabad, Hyderabad. Book an appointment online with Dr. Y.Syamala Devi on Lybrate.com.",surgeon,0.01,0.99,female,dentist
44,"Dr. Anshul Kankaria practices at Kankaria Dental Speciality Multispeciality Dental Clinic in Bhatapara Sadar Bazar, Raipur. He completed BDS from Pt Ravishankar Shukla University, Raipur in 2008. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Tooth Extraction,Artificial Teeth and Impaction / Impacted Tooth Extraction etc.",surgeon,0.03,0.96,male,dentist
45,"Dr. Noopur Mathur Kannan practices at Dental Specialists in Vasant Kunj, Delhi. She completed BDS from King Georges Medical College, Lucknow University in 1999. She is a member of Indian Dental Association. Service provided by the doctor is: Impaction / Impacted Tooth Extraction.",surgeon,0.03,0.97,female,dentist
46,"He is an in-network provider for Blue Cross/Blue Shield, Blue Cross Blue Shield Bronze, and Blue Cross Blue Shield HMO, as well as other insurance carriers.",surgeon,0.03,0.95,male,dentist
47,"He truly cares about the experience his patients have and takes great pride in making them feel relaxed and comfortable during every visit. Come in for an appointment and experience a different kind of dental practice. To find out more about Dr. Sinkin, please click here.",surgeon,0.01,0.98,male,dentist
48,"She is currently practising at Smile Beautifully Clinic in Mumbai, Mumbai. Don’t wait in a queue, book an instant appointment online with Dr. Hemal K Shah on Lybrate.com.",psychologist,0.01,0.98,female,dentist
49,"Dr. V.Rameshwar Rao practices at Clove Dental in Paradise, Hyderabad. He completed BDS from Dr. NTR University of Health Sciences Andhra Pradesh in 2009. He is a member of Indian Dental Association. Some of the services provided by the doctor are: Straightening Teeth (Conventional Braces),Dental prophylaxis,Dental Restoration,Dental Examinations and Teeth Whitening etc.",surgeon,0.03,0.97,male,dentist
50,"Dr. Jui Shinde practices at Nanavati Super Speciality Hospital in Vileparle West, Mumbai. She completed BDS from Dr. D.Y. Patil Dental College Hospital, Pune in 2008.",surgeon,0.03,0.96,female,dentist
51,"She completed BDS from National University of Singapore, Singapore in 1993. Some of the services provided by the doctor are: Oral Rehabilitation,Porcelain Veneers,Invisible/Clear Braces,Bone Grafting and Gum Disease Treatment/ Surgery etc.",surgeon,0.02,0.98,female,dentist
52,"Dr. Christopher Shinde practices at One Stop Smile Shop in Ayodhaya Nagar, Bhopal. He completed BDS from Peoples College of Dental Sciences Research Centre in 2010. He is a member of Dental Council of India. Some of the services provided by the doctor are: BPS Dentures Fixing,Impaction / Impacted Tooth Extraction,Artificial Teeth,Acrylic Partial Denture and Crowns and Bridges Fixing etc.",surgeon,0.03,0.97,male,dentist
53,"She is currently practising at Sawasdee Dental Clinic in Burdwan Road, Kolkata. Book an appointment online with Dr. Malini Chari and consult privately on Lybrate.com.",surgeon,0.01,0.99,female,dentist
54,"She is currently associated with Dental Clinic in Wadala, Mumbai. Book an appointment online with Dr. Shabana Kazi and consult privately on Lybrate.com.",surgeon,0.01,0.99,female,dentist
55,"She is currently associated with Kambil's Dental Speciality Clinic in Dombivali, Thane. Book an appointment online with Dr. Deepa Kambli on Lybrate.com.",surgeon,0.01,0.99,female,dentist
56,"He has 39 years of experience in the dental field. With that, he is capable of giving the most effective treatment plans to patients. He has received numerous good feedbacks from his patients because of his excellent oral health treatments. Some of these excellent services include crowns and implant crowns, preventive care, root canals, veneers, and dentures.",surgeon,0.02,0.98,male,dentist
57,"She practices in Gold River, California and has the professional credentials of DDS. The NPI Number for Mrs. Unyong Kim is 1669810347 and she holds a Licence No. 62248 (California).",surgeon,0.01,0.99,female,dentist
58,"She graduated from Monroe Community College with her Associates of Science in Nursing in 1997. Shortly after, she attended Eastern Michigan University to obtain her Bachelor in Science of Nursing in 2003. Kelly strives to uphold the highest degree of patient satisfaction, and care while having over 10 years of compassionate experience.",physician,0.00,1.00,female,nurse
59,"Ms. Margaret M Kavanaugh's NPI Number is #1689974388 and has been listed in the NPI registry for 7 years. Ms. Margaret M Kavanaugh's practice location is listed as: 4921 Parkview Pl 7Th Floor Saint Louis, MO 63110-1032 and can be reached via phone at (314) 747-1171.",physician,0.40,0.59,female,nurse
60,"She works with the Center for Health Training and Cedar River Clinics and is on the board of Women’s Health Specialists, a group of clinics in California.",physician,0.02,0.97,female,nurse
61,"This workshop is an evidence-based project designed by her as part of her Doctor of Nursing Practice capstone project, through the University of Colorado, Colorado Springs.",physician,0.00,0.99,female,nurse
62,"McKenna collects donated wigs to loan out to the patients when they lose their hair, all of which have been washed and styled. The patients who are loaned wigs are not expected to return them, however many do. Some cancer patients, especially younger ones, do not mind using scarves and hats throughout their treatment.",psychologist,0.13,0.70,female,nurse
63,"She says her parents Geraldine and Lawrence Bracy were buried in Burr Oaks along with a number of aunts, uncles and cousins. Bracy says she has been complaining about the cemetery for years.",psychologist,0.18,0.68,female,nurse
64,"She fell in love with natural living four years ago and has dedicated herself to educating others about organics. She loves Crossfit, the beach, and playing with her kids. Read more about organic, non-toxic living at DejaVuOrganics.com.",physician,0.27,0.66,female,nurse
65,"Mrs. Danielle Groves's NPI Number is #1700279338 and has been listed in the NPI registry for 3 years. Mrs. Danielle Groves's practice location is listed as: 3980 Colonnade Pkwy Birmingham, AL 35243-2382 and can be reached via phone at (205) 510-5000.",physician,0.44,0.55,female,nurse
66,"She earned her Master of Science in Nursing from Samuel Merritt University in Oakland, California. She completed postgraduate education at the University of Missouri. She is professionally certified in mental health and family medicine.",physician,0.00,0.99,female,nurse
67,"Julie became involved with Operation Hernia in 2008 and joined the board of trustees in 2014. Julie has taken part in Operation Hernia missions to Ghana and Nepal, offering theatre and general nursing duties, as well as teaching support. In addition to being heavily involved in the logistical support for various missions, she has also played an important part in several fund-raising activities.",psychologist,0.00,0.99,female,nurse
68,"Mrs. Margaret Cone Taylor's NPI Number is #1629089214 and has been listed in the NPI registry for 12 years. Mrs. Margaret Cone Taylor's practice location is listed as: 7205 Buford's Bridge Highway Sycamore, SC 29846 and can be reached via phone at (803) 632-3900.",physician,0.42,0.57,female,nurse
69,"She is also an organic gardener who is a firm believer in connecting with Mother Earth, growing her own crops, and providing for the community. She encourages others to do the same. In this piece, she shares some of her tips. Credits: Brian J. Albertson – Editor, Producer, Director Nancy Lynne Stone – Camera Operator",psychologist,0.32,0.47,female,nurse
70,"She also has expertise as a cosmetic tattoo technician, with experience with brow, eyeliner, lip and scar tattooing and experience with micro needling for wrinkles, acne scars and brown spots. Clients enjoy a beautiful, high end spa in NW Calgary (Edges Salon and Spa) for their treatments.",surgeon,0.08,0.84,female,nurse
71,"Mrs. Jennifer Buffard's NPI Number is #1770884454 and has been listed in the NPI registry for 7 years. Mrs. Jennifer Buffard's practice location is listed as: 11030 Rca Center Dr Ste 3015 Palm Beach Gardens, FL 33410-4276 and can be reached via phone at (561) 776-7041.",physician,0.46,0.53,female,nurse
72,They can get out of hand and she winds up a showpiece ... : Saki Ogasawara Saki is a very talented Asian slut who works in the adult book store across ...,psychologist,0.16,0.82,female,nurse
73,"She has over 30 years of oncology nursing and over 20 years of prior experience as the administrator of a successful CCOP. She uses her past experiences to lead efforts to increase clinical trial accrual, address accrual barriers, evaluate accrual strategies, mentor new community clinical trial sites, and contribute to the evaluation of the community clinical trials programs.",psychologist,0.00,0.99,female,nurse
74,Her program of research focuses on pain and symptom management and palliative care. She also serves as an Oncology Nursing Society palliative care liaison for the Middle East.,psychologist,0.01,0.98,female,nurse
75,She earned her Bachelor of Science in Nursing from Minnesota State University in 2009 and her Master of Science in Nursing from the University of North Dakota. She is professionally certified in mental health. Gregg previously work as an RN on the Richard Young Behavioral Health Center inpatient units.,psychologist,0.00,1.00,female,nurse
76,Her heartwarming nonfiction stories have been published in a previous Chicken Soup for the Soul book and a magazine called Spotlight On Recovery. E-mail her at rnsue19020@aol.com.,psychologist,0.33,0.61,female,nurse
77,She has been the director of women’s services for over 10 years with IASIS Healthcare. Jill is a winner of the 2011 IASIS Healthcare Chairman’s Award and the Phoenix Business Journal’s award for outstanding achievements in community outreach in 2010. Learn More,psychologist,0.09,0.87,female,nurse
78,"Ms. Sandra L Mikolas's NPI Number is #1164539656 and has been listed in the NPI registry for 11 years. Ms. Sandra L Mikolas's practice location is listed as: 10400 75Th St Kenosha, WI 53142 and can be reached via phone at (262) 948-7820.",physician,0.40,0.59,female,nurse
79,"Her work has appeared in Sequoia Stanford Literary Magazine, Graham House Review and Podium, an online literary magazine of the Unterberg Poetry Center at New York’s 92nd Street Y. She holds an MS and BS in Nursing (Columbia University) and a BA in English and French (Union College). She lives in New York City with her husband and daughter.",physician,0.00,0.99,female,nurse
80,"He completed a critical care fellowship at Riverside Methodist Hospital in 1994 and started traveling in that specialty a year later. His first travel assignment was in Maui and since that time he has completed over thirty travel contracts, worked with several different travel agencies, and currently holds about a half dozen nursing licenses in different states.",surgeon,0.00,0.99,male,nurse
81,"Shortly after Katrina, she wrote a letter to the editor of the weekly paper the Alibi criticizing the Bush Administration. After the paper published the letter in its September 15-21 issue, VA administrators seized her computer, alleged that she had written the letter on that computer, and accused her of “sedition.”",psychologist,0.12,0.76,female,nurse
82,"She has a Masters in Nursing from UKZN and is currently completing her Phd on the history of Indian nursing in South Africa. She has lectured at UKZN, DUT, Rosebank College and The University of the Western Cape.",surgeon,0.00,1.00,female,nurse
83,"She earned her LPN from North Dakota State School of Science in Wahpeton, ND, and her nursing degree from North Hennepin Community College in Brooklyn Park, MN.",physician,0.00,0.99,female,nurse
84,"He belonged to the upper 15 percentile of the board exam passers in 2008. He is a graduate of BS Nursing at Centro Escolar University, where he was an active leader, and officer of the Red Cross Committee. He was a consistent honor student during his school days. He is currently working at Ameriprise Financial while doing volunteer nursing and HIV awareness programs.",physician,0.00,0.99,male,nurse
85,"Mrs. Annalyn Velasquez's NPI Number is #1073833661 and has been listed in the NPI registry for 8 years. Mrs. Annalyn Velasquez's practice location is listed as: 3200 Sw 60Th Ct Suite 302 Miami, FL 33155-4000 and can be reached via phone at (305) 662-8330.",physician,0.44,0.55,female,nurse
86,"Lauren received her training from Columbia University's School of Nursing in NYC and has worked at federally qualified health centers since she began her career. Lauren is passionate about women's health and breastfeeding medicine, she is also proficient in Spanish. She continues to grow a breastfeeding medicine program at NFP.",physician,0.06,0.93,female,nurse
87,"Gloria earned her bachelor’s degree in child development from California State University and went on to receive her bachelor’s degree in nursing from Grand Canyon University. She completed her master’s in nursing from South University in Savanna, GA.",surgeon,0.00,0.99,female,nurse
88,She earned her Bachelor of Science in Exercise Science at the University of Tennessee and earned her Master of Science in Nursing at East Carolina University. Prior to joining Cary Behavioral Health Jessica worked in general medicine and oncology for Duke.,physician,0.00,0.99,female,nurse
89,"Darla has worked in both hospital acute care and clinic settings, an experience that enables her to work effectively with her patients to diagnose and treat a wide range of conditions. She is highly skilled in patient education with an ability to help patients and their families understand treatment plans and the impacts and processes of the conditions that may be affecting them.",physician,0.09,0.90,female,nurse
90,"During the Pacific Partnership 2010 mission, Faye served as HOPE’s Chief Nursing Officer and Operations Officer in Vietnam, Cambodia and Indonesia. Even as the rest of the HOPE volunteers returned home in August, Faye stayed on, working with those in need in Timor Leste. Here is a blog she wrote before leaving the USNS Mercy on August 31.",psychologist,0.00,0.99,female,nurse
91,"He diagnoses and helps patients manage acute and chronic illness, working both independently and collaboratively with other caregivers. He earned his bachelor’s degree in nursing from Morehead State University, his MBA from the University of Phoenix, and his Masters of Science in Nursing at the University of Alabama at Birmingham, where he specialized in adult/gerontological care.",psychologist,0.00,0.99,male,nurse
92,"She has a diverse background including experience in primary care, orthopedics, and neurosurgery. She is new to Urological Consultants of Florida, but she has rapidly become an invaluable member of the team. She is valued by patients for her warm and compassionate personality as well as her urological knowledge and attention to detail. Nicole is fluent in English and Spanish.",physician,0.07,0.92,female,nurse
93,"She's worked hard to get herself to the point in her life she's in now. She is a no nonsense, have nothing to do the motorcycle racers ever, refuse to let Dr Devlin Dane wear her down kind of girl. Little does she know her worlds about to get rocked by not one Dane man but by two.",psychologist,0.19,0.65,female,nurse
94,"Mrs. Erin S Redd's NPI Number is #1578711586 and has been listed in the NPI registry for 10 years. Mrs. Erin S Redd's practice location is listed as: 1404 Eastland Dr Suite 204 Bloomington, IL 61701-3532 and can be reached via phone at (309) 662-8813.",physician,0.45,0.54,female,nurse
95,"Mrs. Danielle Leyla Blackwell's NPI Number is #1366400293 and has been listed in the NPI registry for 12 years. Mrs. Danielle Leyla Blackwell's practice location is listed as: 19723 S Hwy 213 Oregon City, OR 97045-4190 and can be reached via phone at (503) 656-9030.",physician,0.43,0.56,female,nurse
96,She has contracted Hepatitis C and HIV and spends her days with medical appointments and lying on her couch. SAN FRANCISCO CHRONICLE PHOTO BY CHRIS STEWART less,physician,0.10,0.86,female,nurse
97,"She's worked at several industries before honing her skills here with a focus on wellness. She writes articles for the corporate newsletter, an internal TV station, and much more.",physician,0.32,0.35,female,nurse
98,"In this role, she promotes high quality, evidence-based care by educating and training advanced practice providers in pain medicine. She is enthusiastic about sharing knowledge with other providers to enhance their clinical skills in pain assessment, evaluation and management.",physician,0.05,0.94,female,nurse
99,She previously worked as an abortion provider and has written about her experiences both inside and outside of clinics for Socialist Worker newspaper.,psychologist,0.25,0.71,female,nurse
100,"With around 1400 acute stroke presentations per year, her main role is to run the 24 hour Code Stroke Service, provide training and education to the stroke unit staff, provide information and support to the patients and their families, promote recovery and early discharge planning, data collection, and be involved in the ongoing updating and implementation of the acute stroke management protocols and procedures.",psychologist,0.07,0.91,female,nurse
101,"Mrs. Sonia Carmen Smith's NPI Number is #1720088933 and has been listed in the NPI registry for 12 years. Mrs. Sonia Carmen Smith's practice location is listed as: 880 S Atlantic Blvd Monterey Park, CA 91754-4700 and can be reached via phone at (626) 284-9278.",physician,0.45,0.54,female,nurse
102,She earned her RN in 2000 and began working with Dr. Whelan shortly thereafter. Ms. Cekic is invaluable to Dr. Whelan’s research and clinical teams. With the move to Roosevelt Hospital Ms. Cekic’s role has broadened to include research responsibilities to the thoracic and breast surgery departments as well.,physician,0.00,0.99,female,nurse
103,"She received her Bachelors of Nursing from the University of Maryland and her Masters of Nursing from Point Loma Nazarene University in San Diego, California.",surgeon,0.00,1.00,female,nurse
104,She holds an adjunct appointment as Assistant Professor at the University of Manitoba’s Faculty of Nursing. She is the author of numerous books and articles on the topic of sexuality and cancer and has been invited to speak on the topic nationally and internationally.,psychologist,0.00,0.99,female,nurse
105,"Mrs. Luanne Dee Johnson's NPI Number is #1922096601 and has been listed in the NPI registry for 13 years. Mrs. Luanne Dee Johnson's practice location is listed as: 204 Center St Augusta, IL 62311-1228 and can be reached via phone at (217) 392-2108.",physician,0.42,0.56,female,nurse
106,"Mrs. Krista Z Rogman's NPI Number is #1811024854 and has been listed in the NPI registry for 10 years. Mrs. Krista Z Rogman's practice location is listed as: 2550 S Parker Rd Aurora, CO 80014-1622 and can be reached via phone at (303) 338-4545.",physician,0.43,0.56,female,nurse
107,"Holding certifications to teach from the American Heart Association, Indiana State Department of Health, and the American Lung Association, has proven to make her a very proficient and personable instructor.",psychologist,0.06,0.91,female,nurse
108,"She practices in Berryville, Virginia and has the professional credentials of . The NPI Number for Mrs. Ashley Beth Watterson is 1003181611 and she holds a License No. 0024171488 (Virginia).",physician,0.39,0.59,female,nurse
