xai,model,contrastive,class,words,top5POS
gi,gpt2-small,False,dentist,"['Dr.', 'Dental', '5', 'Lybrate.com', '.']","['PROPN', 'PROPN', 'NUM', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['Lightman', 'hostage', ',', 'of', 'and']","['PROPN', 'NOUN', 'PUNCT', 'ADP', 'CCONJ']"
gi,gpt2-small,False,dentist,"['consult', 'online', 'practising', 'Lybrate.com', 'currently']","['VERB', 'ADV', 'VERB', 'PROPN', 'ADV']"
gi,gpt2-small,False,psychologist,"['cross', 'disorders', 'researched', 'religion', 'psychology']","['ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN']"
gi,gpt2-small,False,physician,"['-', 'reputation', 'Rose', 'her', 'Dr.']","['PUNCT', 'NOUN', 'PROPN', 'PRON', 'PROPN']"
gi,gpt2-small,False,physician,"['Gifford', '2600', 'registry', 'reached', 'Mr.']","['PROPN', 'NUM', 'NOUN', 'VERB', 'PROPN']"
gi,gpt2-small,False,physician,"['MO', 'Jr.', 'reached', '0417', 'Mr.']","['PROPN', 'PROPN', 'VERB', 'NUM', 'PROPN']"
gi,gpt2-small,False,dentist,"['5', 'Speciality', 'Surgery', '2011', 'Dental']","['NUM', 'PROPN', 'PROPN', 'NUM', 'PROPN']"
gi,gpt2-small,False,psychologist,"['taught', 'served', 'Professions', 'Psychology', 'Degrees']","['VERB', 'VERB', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['NURSE', 'experiences', 'medical', 'doctors', '.']","['PROPN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['surgery', 'patients', 'surgery', 'treatments', 'surgery']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,physician,"['Physician', 'Texas', 'Lonestar', 'Physician', '.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['also', 'well', 'writes', 'little', 'She']","['ADV', 'ADV', 'VERB', 'ADJ', 'PRON']"
gi,gpt2-small,False,surgeon,"['been', 'best', 'times', 'selected', 'as']","['AUX', 'ADJ', 'NOUN', 'VERB', 'ADP']"
gi,gpt2-small,False,nurse,"['and', 'conditions', 'in', 'affecting', 'has']","['CCONJ', 'NOUN', 'ADP', 'VERB', 'AUX']"
gi,gpt2-small,False,nurse,"['flees', 'her', 'scrolls', 'entrusted', 'When']","['VERB', 'PRON', 'NOUN', 'VERB', 'ADV']"
gi,gpt2-small,False,nurse,"['in', 'University', 'Science', 'Master', 'Science']","['ADP', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['experiences', 'NURSE', 'hospital', 'PRACTITIONER', '.']","['NOUN', 'PROPN', 'NOUN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['oriented', 'license', 'assessments', 'Psychology', '.']","['VERB', 'NOUN', 'NOUN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['Health', 'active', 'an', 'Sculpt', 'Miramichi']","['PROPN', 'ADJ', 'DET', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['of', 'NPI', '.', ')', 'License']","['ADP', 'PROPN', 'NOUN', 'PUNCT', 'PROPN']"
gi,gpt2-small,False,psychologist,"['Personality', 'Ph.D.', 'Psychological', 'psychology', '.']","['PROPN', 'NOUN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['Cosmetic', 'surgery', 'cosmetic', 'thousand', 'surgery']","['ADJ', 'NOUN', 'ADJ', 'NUM', 'NOUN']"
gi,gpt2-small,False,psychologist,"['action', 'psychotherapy', 'behavioral', 'psychotherapies', '.']","['NOUN', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['currently', 'Mumbai', 'book', 'Lybrate.com', 'Smile']","['ADV', 'PROPN', 'VERB', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['residency', 'of', 'graduate', 'of', 'certified']","['NOUN', 'ADP', 'NOUN', 'ADP', 'VERB']"
gi,gpt2-small,False,psychologist,"['.', 'Dr.', 'Psychology', 'ethics', '.']","['PUNCT', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['Musculoskeletal', 'Care', 'Surgery', 'Physicians', 'Dr.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['progress', 'interests', 'Therapy', 'She', '.']","['NOUN', 'NOUN', 'PROPN', 'PRON', 'PUNCT']"
gi,gpt2-small,False,physician,"['Univeristy', 'She', 'a', 'Her', '.']","['PROPN', 'PRON', 'DET', 'PRON', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['doctoral', 'Couples', 'Communication', 'Therapist', '.']","['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Literature', 'pre', 'of', 'Tech', 'medical']","['PROPN', 'ADJ', 'ADP', 'PROPN', 'ADJ']"
gi,gpt2-small,False,dentist,"['Gum', 'Rehabilitation', 'Oral', 'BDS', 'Porcelain']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['carriers', 'of', 'insurance', 'graduated', '.']","['NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['assessment', 'evaluations', 'psychological', 'specializes', 'mitigation']","['NOUN', 'NOUN', 'ADJ', 'VERB', 'NOUN']"
gi,gpt2-small,False,dentist,"['MDS', 'Delhi', 'Lybrate.com', 'has', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'AUX', 'PROPN']"
gi,gpt2-small,False,physician,"['hematology', 'oncology', 'medical', 'Center', 'degree']","['NOUN', 'NOUN', 'ADJ', 'PROPN', 'NOUN']"
gi,gpt2-small,False,physician,"['has', 'M.D', 'Mississippi', 'Oxford', 'of']","['VERB', 'PROPN', 'PROPN', 'PROPN', 'ADP']"
gi,gpt2-small,False,psychologist,"['of', 'therapeutic', 'Environmental', 'his', '.']","['ADP', 'ADJ', 'PROPN', 'PRON', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['well', 'prevention', 'he', 'cancer', 'strategies']","['ADV', 'NOUN', 'PRON', 'NOUN', 'NOUN']"
gi,gpt2-small,False,surgeon,"['Dr.', 'mitral', 'leader', 'cases', 'tricuspid']","['PROPN', 'NOUN', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,physician,"['Academy', '.', 'Physician', 'clinical', 'N.C.']","['PROPN', 'PUNCT', 'PROPN', 'ADJ', 'PROPN']"
gi,gpt2-small,False,psychologist,"['and', 'treatment', 'years', 'He', 'doctorate']","['CCONJ', 'NOUN', 'NOUN', 'PRON', 'NOUN']"
gi,gpt2-small,False,psychologist,"['psychological', 'availability', 'professional', 'music', 'services']","['ADJ', 'NOUN', 'ADJ', 'NOUN', 'NOUN']"
gi,gpt2-small,False,surgeon,"['Medicine', 'School', 'Hospital', 'Dr.', 'of']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP']"
gi,gpt2-small,False,nurse,"['Hennepin', 'of', 'ND', 'degree', 'School']","['PROPN', 'ADP', 'PROPN', 'NOUN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['special', 'Baton', '.', 'Dr.', 'practicing']","['ADJ', 'PROPN', 'PUNCT', 'PROPN', 'VERB']"
gi,gpt2-small,False,psychologist,"['receiving', 'neuroscience', 'Coaching', '.', 'Physiological']","['VERB', 'NOUN', 'PROPN', 'PUNCT', 'PROPN']"
gi,gpt2-small,False,surgeon,"['most', 'the', 'the', 'chief', 'revered']","['ADV', 'DET', 'DET', 'ADJ', 'ADJ']"
gi,gpt2-small,False,nurse,"['in', 'medical', 'book', 'doctors', '.']","['ADP', 'ADJ', 'VERB', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['for', 'House', 'internship', 'University', 'ran']","['ADP', 'PROPN', 'NOUN', 'PROPN', 'VERB']"
gi,gpt2-small,False,physician,"['patients', 'Bodenheimer', 'Humana', 'He', '.']","['NOUN', 'PROPN', 'PROPN', 'PRON', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['Suzy', '.', 'financial', 'newspaper', 'D.T.']","['PROPN', 'PUNCT', 'ADJ', 'NOUN', 'PROPN']"
gi,gpt2-small,False,dentist,"['PCAD', 'currently', 'Clinic', 'Dentist', 'Care']","['PROPN', 'ADV', 'PROPN', 'NOUN', 'PROPN']"
gi,gpt2-small,False,dentist,"['currently', 'Mumbai', 'Sumati', 'Lybrate.com', 'Dental']","['ADV', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['for', 'to', 'and', 'years', 'passion']","['ADP', 'PART', 'CCONJ', 'NOUN', 'NOUN']"
gi,gpt2-small,False,psychologist,"['Tutor', 'of', 'Psychology', 'training', 'Clinical']","['PROPN', 'ADP', 'PROPN', 'NOUN', 'PROPN']"
gi,gpt2-small,False,surgeon,"['on', 'total', 'techniques', 'care', 'plastic']","['ADP', 'ADJ', 'NOUN', 'NOUN', 'ADJ']"
gi,gpt2-small,False,nurse,"['children', 'management', 'ICHA', 'Nurse', 'Her']","['NOUN', 'NOUN', 'PROPN', 'PROPN', 'PRON']"
gi,gpt2-small,False,dentist,"['Thejas', 'Dr.', 'Dental', 'Dental', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['Dentist', '11', 'Dental', 'Lybrate.com', '.']","['NOUN', 'NUM', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Dental', 'K.D.', 'Family', '2012', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'NUM', 'PROPN']"
gi,gpt2-small,False,psychologist,"['Choices', 'coedited', '.', 'the', 'Ariel']","['PROPN', 'VERB', 'PUNCT', 'DET', 'PROPN']"
gi,gpt2-small,False,psychologist,"['or', 'involving', 'eysusskind@aol.com', 'reached', 'topics']","['CCONJ', 'VERB', 'NOUN', 'VERB', 'NOUN']"
gi,gpt2-small,False,nurse,"['Dr.', 'of', 'the', 'Nurse', 'nurse']","['PROPN', 'ADP', 'DET', 'PROPN', 'NOUN']"
gi,gpt2-small,False,physician,"['Vargo', 'Doctors', 'Medicine', 'insurance', '.']","['PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['CLINICAL', 'book', 'experiences', 'hospital', 'doctors']","['PROPN', 'VERB', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,dentist,"[',', 'Dental', 'M.R.', 'Complete', 'Dental']","['PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['difficult', 'KUOW', 'Sharon', 'Sarah', '.']","['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['He', 'education', 'sports', 'entertainment', 'science']","['PRON', 'NOUN', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,surgeon,"['graduated', 'practice', 'certified', 'Medicine', '.']","['VERB', 'NOUN', 'VERB', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['.', 'behavioural', 'supervision', 'She', 'psychologists']","['PUNCT', 'ADJ', 'NOUN', 'PRON', 'NOUN']"
gi,gpt2-small,False,psychologist,"['at', 'at', 'management', 'of', 'Dr.']","['ADP', 'ADP', 'NOUN', 'ADP', 'PROPN']"
gi,gpt2-small,False,physician,"['her', 'Seth', 'stars', 'Patients', '.']","['PRON', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,physician,"['Humana', 'Howard', 'medicine', 'Group', '.']","['PROPN', 'PROPN', 'NOUN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['in', 'Supervision', 'Guidance', 'Books', 'adjunct']","['ADP', 'PROPN', 'PROPN', 'PROPN', 'ADJ']"
gi,gpt2-small,False,dentist,"['Dental', 'Dental', 'Dentures', 'Dental', '.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['in', 'medical', 'his', 'Hospital', 'Surgery']","['ADP', 'ADJ', 'PRON', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['Steidtmann', 'Dr.', 'PhD', 'wellbeing', 'psychology']","['PROPN', 'PROPN', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,dentist,"['(', '645', 'a', 'holds', 'Licence']","['PUNCT', 'NUM', 'DET', 'VERB', 'PROPN']"
gi,gpt2-small,False,physician,"['insurance', '.', 'Dr.', 'and', ',']","['NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Dr.', 'Pediatric', '16', 'English', 'experience']","['PROPN', 'PROPN', 'NUM', 'PROPN', 'NOUN']"
gi,gpt2-small,False,dentist,"['also', 'Composite', 'Dentistry', 'professional', 'Dentistry']","['ADV', 'PROPN', 'PROPN', 'ADJ', 'PROPN']"
gi,gpt2-small,False,surgeon,"['’s', 'of', 'surgeon', 'medicine', 'for']","['PART', 'ADP', 'NOUN', 'NOUN', 'ADP']"
gi,gpt2-small,False,surgeon,"['Santé', 'Cité', 'de', 'Hôpital', 'regain']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']"
gi,gpt2-small,False,psychologist,"[',', 'the', 'Her', 'belief', 'marital']","['PUNCT', 'DET', 'PRON', 'NOUN', 'ADJ']"
gi,gpt2-small,False,psychologist,"['abuse', 'Ph.D.', 'trauma', 'guide', 'Psychology']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'PROPN']"
gi,gpt2-small,False,nurse,"['experiences', 'in', 'PRACTITIONER', 'NURSE', '.']","['NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['and', 'CHRONICLE', 'lying', 'FRANCISCO', 'PHOTO']","['CCONJ', 'NOUN', 'VERB', 'PROPN', 'NOUN']"
gi,gpt2-small,False,dentist,"['of', 'technologically', 'she', 'Dental', 'advanced']","['ADP', 'ADV', 'PRON', 'PROPN', 'ADJ']"
gi,gpt2-small,False,surgeon,"['Dr.', 'plastic', 'surgeon', 'rhinoplasty', '.']","['PROPN', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Care', 'has', 'Dr.', 'Lybrate.com', 'Dental']","['PROPN', 'AUX', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['Osteopathic', 'hospital', '-', 'practice', 'In']","['PROPN', 'NOUN', 'PUNCT', 'NOUN', 'ADP']"
gi,gpt2-small,False,physician,"['NPI', 'NJ', 'Mrs.', '597', 'reached']","['PROPN', 'PROPN', 'PROPN', 'NUM', 'VERB']"
gi,gpt2-small,False,dentist,"['has', '.', 'Dr.', 'Lybrate.com', '12']","['VERB', 'PUNCT', 'PROPN', 'PROPN', 'NUM']"
gi,gpt2-small,False,nurse,"['include', 'and', 'Ms.', 'Ms.', 'broadened']","['VERB', 'CCONJ', 'PROPN', 'PROPN', 'VERB']"
gi,gpt2-small,False,dentist,"['Dental', 'Dental', 'Dental', 'Dental', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['Partial', 'Nagpur', 'Denture', 'Dental', 'Dr.']","['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['HPSP', 'Program', 'Board', 'HPSP', 'practicing']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'VERB']"
gi,gpt2-small,False,dentist,"['Atul', 'Trident', 'Dental', 'Dentistry', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['with', 'Oral', 'Dental', '25', 'Chennai']","['ADP', 'PROPN', 'PROPN', 'NUM', 'PROPN']"
gi,gpt2-small,False,nurse,"['As', 'nurse', 'nurse', 'nurse', 'Nursing']","['ADP', 'NOUN', 'NOUN', 'NOUN', 'PROPN']"
gi,gpt2-small,False,dentist,"['friendly', 'patients', 'family', 'University', 'reliable']","['ADJ', 'NOUN', 'NOUN', 'PROPN', 'ADJ']"
gi,gpt2-small,False,dentist,"['Dr.', 'consult', 'privately', 'Lybrate.com', 'Dentist']","['PROPN', 'VERB', 'ADV', 'PROPN', 'NOUN']"
gi,gpt2-small,False,nurse,"['book', 'NURSE', 'experiences', 'hospital', '.']","['VERB', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['RCT', 'of', 'Dentistry', 'Dental', '.']","['PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['book', 'doctors', 'Physicians', 'D', '.']","['VERB', 'NOUN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['at', 'pancreas', 'died', 'intestines', 'spleen']","['ADP', 'NOUN', 'VERB', 'NOUN', 'NOUN']"
gi,gpt2-small,False,psychologist,"['Australian', 'Behavioural', 'Accredited', 'Registered', '.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Redmond', 'improve', 'OR', 'appointment', 'towns']","['PROPN', 'VERB', 'CCONJ', 'NOUN', 'NOUN']"
gi,gpt2-small,False,dentist,"['.', 'currently', 'Delhi', 'Lybrate.com', 'Dental']","['PUNCT', 'ADV', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['the', 'Professions', 'in', 'Student', '.']","['DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['Centre', 'Psychology', 'of', 'Department', 'he']","['PROPN', 'PROPN', 'ADP', 'PROPN', 'PRON']"
gi,gpt2-small,False,physician,"['professional', 'communications', 'intersection', '.', 'Her']","['ADJ', 'NOUN', 'NOUN', 'PUNCT', 'PRON']"
gi,gpt2-small,False,nurse,"['worked', 'completed', 'nurse', 'Masters', 'Evelyn']","['VERB', 'VERB', 'NOUN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['.', 'currently', 'Dental', 'Lybrate.com', 'Mumbai']","['PUNCT', 'ADV', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['has', 'Assistant', 'Physician', 'Physician', '.']","['AUX', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['.', 'Psychology', 'BSc', 'Psychology', 'Therapy']","['PUNCT', 'NOUN', 'NOUN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['.', 'transition', 'and', 'Medicine', 'Hyden']","['PUNCT', 'NOUN', 'CCONJ', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['Dr.', 'Dentures', 'Dentistry', 'Dental', '.']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,physician,"['He', 'BlueShield', 'BlueCross', 'affiliated', 'University']","['PRON', 'PROPN', 'PROPN', 'VERB', 'PROPN']"
gi,gpt2-small,False,dentist,"['privately', 'Dr.', 'Lybrate.com', 'Dental', '.']","['ADV', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,physician,"['Diego', 'Muth', 'NPI', 'reached', 'Ms.']","['PROPN', 'PROPN', 'PROPN', 'VERB', 'PROPN']"
gi,gpt2-small,False,physician,"['.', '623', '909', 'NPI', 'Mrs.']","['PUNCT', 'NUM', 'NUM', 'PROPN', 'PROPN']"
gi,gpt2-small,False,nurse,"['in', 'NURSE', 'PRACTITIONER', 'experiences', '.']","['ADP', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['patients', 'Shield', 'insurance', 'psychotherapy', '.']","['NOUN', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Ishsko', 'Irelands', 'Dentistry', 'Centre', 'in']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'ADP']"
gi,gpt2-small,False,dentist,"['practices', 'Licence', 'California', '(', '62248']","['VERB', 'PROPN', 'PROPN', 'PUNCT', 'NUM']"
gi,gpt2-small,False,psychologist,"['visitation', 'in', 'psychology', 'specializes', 'forensic']","['NOUN', 'ADP', 'NOUN', 'VERB', 'ADJ']"
gi,gpt2-small,False,nurse,"['in', 'Sumner', 'book', 'doctors', '.']","['ADP', 'PROPN', 'VERB', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['College', '.', 'in', 'received', 'New']","['PROPN', 'PUNCT', 'ADP', 'VERB', 'PROPN']"
gi,gpt2-small,False,nurse,"['adjunct', 'of', 'topic', 'holds', 'of']","['ADJ', 'ADP', 'NOUN', 'VERB', 'ADP']"
gi,gpt2-small,False,psychologist,"['years', 'Parents', 'the', '“', 'Child']","['NOUN', 'PROPN', 'DET', 'PUNCT', 'PROPN']"
gi,gpt2-small,False,surgeon,"['Dr.', 'of', 'certified', 'aortic', 'Surgeons']","['PROPN', 'ADP', 'VERB', 'ADJ', 'PROPN']"
gi,gpt2-small,False,psychologist,"['design', '.', 'Research', 'she', 'User']","['NOUN', 'PUNCT', 'PROPN', 'PRON', 'PROPN']"
gi,gpt2-small,False,nurse,"['book', 'She', 'medical', 'doctors', '.']","['VERB', 'PRON', 'ADJ', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Fixing', '.', 'Dental', 'Dental', 'Dental']","['PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,physician,"['reviews', 'HMO', 'Healthcare', 'placed', 'Patient']","['NOUN', 'PROPN', 'PROPN', 'VERB', 'ADJ']"
gi,gpt2-small,False,physician,"['A106407', 'NPI', 'Newark', ')', 'License']","['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'PROPN']"
gi,gpt2-small,False,physician,"['dermatology', 'medical', 'Rebecca', 'Dermatology', '.']","['NOUN', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['reflux', 'ulcerative', 'Dr.', 'for', 'a']","['NOUN', 'ADJ', 'PROPN', 'ADP', 'DET']"
gi,gpt2-small,False,nurse,"['PRACTITIONER', 'experiences', 'doctors', 'NURSE', '.']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Post', '2006', 'in', 'Dental', 'Dental']","['PROPN', 'NUM', 'ADP', 'PROPN', 'PROPN']"
gi,gpt2-small,False,dentist,"['Patil', 'Dr.', 'D.Y.', '2008', 'Dental']","['PROPN', 'PROPN', 'PROPN', 'NUM', 'PROPN']"
gi,gpt2-small,False,nurse,"['She', 'Physician', 'NURSE', 'experiences', '.']","['PRON', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,psychologist,"['acrylic', 'her', 'specific', 'oil', 'her']","['NOUN', 'PRON', 'ADJ', 'NOUN', 'PRON']"
gi,gpt2-small,False,psychologist,"['grandmother', 'of', '.', '6', 'Psychology']","['NOUN', 'ADP', 'PUNCT', 'NUM', 'PROPN']"
gi,gpt2-small,False,surgeon,"['as', 'Medical', 'Medicine', 'Care', 'foot']","['ADV', 'PROPN', 'PROPN', 'PROPN', 'NOUN']"
gi,gpt2-small,False,surgeon,"['surgery', 'surgical', 'surgeries', 'neurosurgeon', 'neurosurgery']","['NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN']"
gi,gpt2-small,False,dentist,"['Mumbai', 'with', 'Dentist', 'Lybrate.com', 'Kdental']","['PROPN', 'ADP', 'NOUN', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['Emick', 'Michelle', 'PSYCHOLOGIST', 'experiences', ',']","['PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['in', 'Walker', 'health', '.', ',']","['ADP', 'PROPN', 'NOUN', 'PUNCT', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['Surgery', 'College', 'Surgical', 'etc', 'Cardiology']","['PROPN', 'PROPN', 'PROPN', 'X', 'PROPN']"
gi,gpt2-small,False,dentist,"['Mumbai', 'at', 'has', 'Lybrate.com', 'Dental']","['PROPN', 'ADP', 'AUX', 'PROPN', 'PROPN']"
gi,gpt2-small,False,psychologist,"['fluent', 'Family', 'Therapy', 'Turkish', '.']","['ADJ', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,nurse,"['NURSE', 'Khalena', 'experiences', 'doctors', '.']","['PROPN', 'PROPN', 'NOUN', 'NOUN', 'PUNCT']"
gi,gpt2-small,False,dentist,"['Dental', 'Immediate', 'Dental', 'Dental', '.']","['PROPN', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']"
gi,gpt2-small,False,surgeon,"['he', 'year', 'are', 'genetic', 'But']","['PRON', 'NOUN', 'AUX', 'ADJ', 'CCONJ']"
gi,gpt2-small,False,psychologist,"[',', ""'s"", 'and', 'Ellen', 'children']","['PUNCT', 'PART', 'CCONJ', 'PROPN', 'NOUN']"
gi,gpt2-small,False,psychologist,"['myriad', 'facets', 'she', 'personal', 'research']","['ADJ', 'NOUN', 'PRON', 'ADJ', 'NOUN']"
