,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,annotator_ID
33,QID585,33,"Sparkling, often hilarious romantic jealousy comedy... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called `My Husband Is Travis Bickle'.",positive,positive,1,"Sparkling,,often,hilarious","1,2,3",42,Black/African American,Male,Very well,PASSED,351,BO,Black/African American,>=38,207
34,QID587,34,"I did go back and check out the last 10 minutes, but these were more repulsive than the first 30 or 40 minutes.",negative,negative,2,"repulsive,than,the,first,30,or,40,minutes.","16,17,18,19,20,21,22,23",42,Black/African American,Male,Very well,PASSED,352,BO,Black/African American,>=38,207
35,QID589,35,"A lousy movie that's not merely unwatchable, but also unlistenable.",negative,negative,2,"A,lousy,movie,unwatchable,,unlistenable.","1,2,3,7,10",42,Black/African American,Male,Very well,PASSED,353,BO,Black/African American,>=38,207
36,QID591,36,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,positive,positive,1,"One,of,the,best,films,of,the,year,masterpiece.","1,2,3,4,5,6,7,8,24",42,Black/African American,Male,Very well,PASSED,354,BO,Black/African American,>=38,207
37,QID593,37,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",positive,positive,1,"strong,script,,powerful,direction,splendid,production","2,3,4,5,7,8",42,Black/African American,Male,Very well,PASSED,355,BO,Black/African American,>=38,207
38,QID595,38,"But here's the real damn: It isn't funny, either.",negative,negative,2,"here's,the,real,damn:,It,isn't,funny,,either.","2,3,4,5,6,7,8,9",42,Black/African American,Male,Very well,PASSED,356,BO,Black/African American,>=38,207
39,QID597,39,... something appears to have been lost in the translation this time.,negative,no sentiment,3,translation,10.0,42,Black/African American,Male,Very well,PASSED,359,BO,Black/African American,>=38,207
40,QID599,40,"Stephen Rea, Aidan Quinn, and Alan Bates play Desmond's legal eagles, and when joined by Brosnan, the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing, `tis.",positive,positive,1,pleasant,30.0,49,Black/African American,Female,Very well,PASSED,361,BO,Black/African American,>=38,9
41,QID601,41,"It's a powerful though flawed movie, guaranteed to put a lump in your throat while reaffirming Washington as possibly the best actor working in movies today.",positive,positive,1,"best,actor","21,22",49,Black/African American,Female,Very well,PASSED,362,BO,Black/African American,>=38,9
42,QID603,42,An intriguing and entertaining introduction to Johnson.,positive,positive,1,entertaining,4.0,49,Black/African American,Female,Very well,PASSED,363,BO,Black/African American,>=38,9
43,QID605,43,Everything was as superficial as the forced New Jersey lowbrow accent Uma had.,negative,negative,2,"forced,lowbrow","7,10",49,Black/African American,Female,Very well,PASSED,364,BO,Black/African American,>=38,9
44,QID607,44,"It is supremely unfunny and unentertaining to watch middle-age and older men drink to excess, piss on trees, b.s. one another and put on a show in drag.",negative,negative,2,"unfunny,unentertaining","4,6",49,Black/African American,Female,Very well,PASSED,368,BO,Black/African American,>=38,9
45,QID609,45,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome.",negative,negative,2,"hapless,arrogant","6,10",49,Black/African American,Female,Very well,PASSED,370,BO,Black/African American,>=38,9
46,QID611,46,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV, they show a remarkable ability to document both sides of this emotional car-wreck.",positive,positive,1,"heartwarming,remarkable","2,20",49,Black/African American,Female,Very well,PASSED,371,BO,Black/African American,>=38,9
47,QID613,47,"A zombie movie in every sense of the word -- mindless, lifeless, meandering, loud, painful, obnoxious.",negative,negative,2,"mindless,,lifeless,,meandering,,loud,,painful,,obnoxious.","11,12,13,14,15,16",49,Black/African American,Female,Very well,PASSED,372,BO,Black/African American,>=38,9
48,QID615,48,"It has fun with the quirks of family life, but it also treats the subject with fondness and respect.",positive,positive,1,"fun,quirks,fondness,respect.","3,6,17,19",49,Black/African American,Female,Very well,PASSED,373,BO,Black/African American,>=38,9
49,QID617,49,"Novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",positive,positive,1,"cruelly,hilarious","6,7",49,Black/African American,Female,Very well,PASSED,374,BO,Black/African American,>=38,9
50,QID619,50,"The movie is almost completely lacking in suspense, surprise and consistent emotional conviction.",negative,negative,2,"lacking,suspense,,conviction.","6,8,13",38,Black/African American,Female,Very well,PASSED,376,BO,Black/African American,>=38,204
51,QID621,51,But it's too long and too convoluted and it ends in a muddle.,negative,negative,2,"long,convoluted","4,7",38,Black/African American,Female,Very well,PASSED,378,BO,Black/African American,>=38,204
52,QID623,52,This thing works on no level whatsoever for me.,negative,no sentiment,3,thing,2.0,38,Black/African American,Female,Very well,PASSED,379,BO,Black/African American,>=38,204
53,QID625,53,... a bland murder-on-campus yawner.,negative,negative,2,yawner.,5.0,38,Black/African American,Female,Very well,PASSED,380,BO,Black/African American,>=38,204
54,QID627,54,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life; despite the title... amounts to surprisingly little.,negative,negative,2,"disappointingly,lower-class","10,14",38,Black/African American,Female,Very well,PASSED,381,BO,Black/African American,>=38,204
55,QID629,55,"One of the finest, most humane and important Holocaust movies ever made.",positive,positive,1,"finest,,humane,important","4,6,8",38,Black/African American,Female,Very well,PASSED,382,BO,Black/African American,>=38,204
56,QID631,56,"Suffers from rambling, repetitive dialogue and the visual drabness endemic to digital video.",negative,negative,2,"Suffers,repetitive,drabness","1,4,9",38,Black/African American,Female,Very well,PASSED,383,BO,Black/African American,>=38,204
57,QID633,57,Features one of the most affecting depictions of a love affair ever committed to film.,positive,positive,1,"affecting,depictions,ever","6,7,12",38,Black/African American,Female,Very well,PASSED,386,BO,Black/African American,>=38,204
58,QID635,58,It is intensely personal and yet -- unlike Quills -- deftly shows us the temper of the times.,positive,positive,1,"intensely,personal","3,4",38,Black/African American,Female,Very well,PASSED,387,BO,Black/African American,>=38,204
59,QID637,59,"Even as I valiantly struggled to remain interested, or at least conscious, I could feel my eyelids... getting... very... heavy...",negative,negative,2,"eyelids...,heavy...","17,20",38,Black/African American,Female,Very well,PASSED,388,BO,Black/African American,>=38,204
60,QID639,60,"... a solid, well-formed satire.",positive,positive,1,"well-formed,satire.","4,5",49,Black/British,Female,Very well,PASSED,389,BO,Black/African American,>=38,60
61,QID641,61,Read My Lips is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love.,positive,positive,1,"viewed,and,treasured,extraordinary,intelligence","7,8,9,12,13",49,Black/British,Female,Very well,PASSED,391,BO,Black/African American,>=38,60
62,QID643,62,"The Movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty.",negative,negative,2,"and,it,ain't,pretty.","18,19,20,21",49,Black/British,Female,Very well,PASSED,395,BO,Black/African American,>=38,60
63,QID645,63,"Even a hardened voyeur would require the patience of Job to get through this interminable, shapeless documentary about the swinging subculture.",negative,negative,2,"patience,of,Job,to,get,through,this,interminable,,shapeless,documentary","8,9,10,11,12,13,14,15,16,17",49,Black/British,Female,Very well,PASSED,396,BO,Black/African American,>=38,60
64,QID647,64,A lame romantic comedy about an unsympathetic character and someone who would not likely be so stupid as to get involved with her.,negative,negative,2,"lame,romantic,comedy,unsympathetic,character","2,3,4,7,8",49,Black/British,Female,Very well,PASSED,398,BO,Black/African American,>=38,60
65,QID649,65,"Rob Schneider's infantile cross-dressing routines fill The Hot Chick, the latest gimmick from this unimaginative comedian.",negative,negative,2,"Rob,Schneider's,infantile,cross-dressing","1,2,3,4",49,Black/British,Female,Very well,PASSED,399,BO,Black/African American,>=38,60
66,QID651,66,At 78 minutes it just zings along with vibrance and warmth.,positive,positive,1,"it,zings,along,with,vibrance,and,warmth.","4,6,7,8,9,10,11",49,Black/British,Female,Very well,PASSED,402,BO,Black/African American,>=38,60
67,QID653,67,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",positive,positive,1,"Only,an,epic,documentary,could,get,it,all,down,,a,movie,worthy,of,his,talents.","1,2,3,4,5,6,7,8,9,23,24,25,26,27,28",49,Black/British,Female,Very well,PASSED,403,BO,Black/African American,>=38,60
68,QID655,68,"As quiet, patient and tenacious as Mr. Lopez himself, who approaches his difficult, endless work with remarkable serenity and discipline.",positive,positive,1,"with,remarkable,serenity,and,discipline.","16,17,18,19,20",49,Black/British,Female,Very well,PASSED,404,BO,Black/African American,>=38,60
69,QID657,69,"Instead of hiding Pinocchio from critics, Miramax should have hidden it from everyone.",negative,negative,2,"Miramax,should,have,hidden,it,from,everyone.","7,8,9,10,11,12,13",49,Black/British,Female,Very well,PASSED,405,BO,Black/African American,>=38,60
70,QID659,70,What a great shame that such a talented director as Chen Kaige has chosen to make his English-language debut with a film so poorly plotted and scripted.,negative,negative,2,"shame,so,poorly,plotted,and,scripted.","4,23,24,25,26,27",77,Black/African American,Female,Very well,PASSED,406,BO,Black/African American,>=38,50
71,QID661,71,Jeffs has created a breathtakingly assured and stylish work of spare dialogue and acute expressiveness.,positive,positive,1,"breathtakingly,assured,stylish,acute,expressiveness.","5,6,8,14,15",77,Black/African American,Female,Very well,PASSED,407,BO,Black/African American,>=38,50
72,QID663,72,"Just about the best straight-up, old-school horror film of the last 15 years.",positive,positive,1,best,4.0,77,Black/African American,Female,Very well,PASSED,408,BO,Black/African American,>=38,50
73,QID665,73,"Gosling creates a staggeringly compelling character, a young man whose sharp intellect is at the very root of his contradictory, self-hating, self-destructive ways.",positive,positive,1,"staggeringly,compelling","4,5",77,Black/African American,Female,Very well,PASSED,409,BO,Black/African American,>=38,50
74,QID667,74,"I thought the relationships were wonderful, the comedy was funny, and the love `real'.",positive,positive,1,"wonderful,,`real'.","6,14",77,Black/African American,Female,Very well,PASSED,410,BO,Black/African American,>=38,50
75,QID669,75,Better at putting you to sleep than a sound machine.,negative,negative,2,"putting,you,to,sleep","3,4,5,6",77,Black/African American,Female,Very well,PASSED,411,BO,Black/African American,>=38,50
76,QID671,76,Feels less like a cousin to Blade Runner than like a bottom-feeder sequel in the Escape From New York series.,negative,negative,2,bottom-feeder,12.0,77,Black/African American,Female,Very well,PASSED,412,BO,Black/African American,>=38,50
77,QID673,77,"Elegantly produced and expressively performed, the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy.",positive,positive,1,"Elegantly,produced,expressively,minutely,detailed,wonders,of,dreamlike,ecstasy.","1,2,4,15,16,17,18,19,20",77,Black/African American,Female,Very well,PASSED,413,BO,Black/African American,>=38,50
78,QID675,78,"Celebrated at Sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",positive,positive,1,"winning,performances,glossy,,glib,charm","10,11,14,15,16",77,Black/African American,Female,Very well,PASSED,415,BO,Black/African American,>=38,50
79,QID677,79,"Apparently, romantic comedy with a fresh point of view just doesn't figure in the present Hollywood program.",negative,negative,2,"doesn't,figure,in","11,12,13",77,Black/African American,Female,Very well,PASSED,416,BO,Black/African American,>=38,50
80,QID679,80,That Haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace.,positive,positive,1,"wonderous,accomplishment,veracity,grace.","19,20,22,25",76,African,Male,Very well,PASSED,417,BO,Black/African American,>=38,45
81,QID681,81,"No French people were harmed during the making of this movie, but they were insulted and the audience was put through torture for an hour and a half.",negative,no sentiment,3,"put,through,torture,hour,half.","20,21,22,25,28",76,African,Male,Very well,PASSED,419,BO,Black/African American,>=38,45
82,QID683,82,"I was feeling this movie until it veered off too far into the Exxon zone, and left me behind at the station looking for a return ticket to realism.",negative,negative,2,"veered,off,too,far,left,behind","8,9,10,11,17,19",76,African,Male,Very well,PASSED,420,BO,Black/African American,>=38,45
83,QID685,83,Exceptionally well acted by Diane Lane and Richard Gere.,positive,positive,1,"Exceptionally,well,acted","1,2,3",76,African,Male,Very well,PASSED,422,BO,Black/African American,>=38,45
84,QID687,84,"A stupid, derivative horror film that substitutes extreme gore for suspense.",negative,negative,2,"stupid,,horror,film","2,4,5",76,African,Male,Very well,PASSED,424,BO,Black/African American,>=38,45
85,QID689,85,It's a great American adventure and a wonderful film to bring to IMAX.,positive,positive,1,"great,American,adventure,wonderful,film","3,4,5,8,9",76,African,Male,Very well,PASSED,425,BO,Black/African American,>=38,45
86,QID691,86,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",positive,positive,1,"miraculous,movie,,overflows,wisdom,emotion.","2,3,11,13,15",76,African,Male,Very well,PASSED,428,BO,Black/African American,>=38,45
87,QID693,87,"A fiercely clever and subtle film, capturing the precarious balance between the extravagant confidence of the exiled aristocracy and the cruel earnestness of the victorious revolutionaries.",positive,positive,1,"clever,subtle,extravagant,confidence,cruel,earnestness,victorious,revolutionaries.","3,5,13,14,21,22,25,26",76,African,Male,Very well,PASSED,429,BO,Black/African American,>=38,45
88,QID695,88,"It's as if you're watching a movie that was made in 1978 but not released then because it was so weak, and it has been unearthed and released now, when it has become even weaker.",negative,negative,2,"made,1978,weak,,even,weaker.","10,12,21,34,35",76,African,Male,Very well,PASSED,430,BO,Black/African American,>=38,45
89,QID697,89,"Thanks to a small star with big heart, this family film sequel is plenty of fun for all.",positive,positive,1,"star,big,heart,,fun,for,all.","5,7,8,16,17,18",76,African,Male,Very well,PASSED,432,BO,Black/African American,>=38,45
90,QID699,90,Festers in just such a dungpile that you'd swear you were watching monkeys flinging their feces at you.,negative,negative,2,"dungpile,swear,you,were,watching,monkeys,flinging,feces,at,you.","6,9,10,11,12,13,14,16,17,18",53,Black/African American,Male,Very well,PASSED,434,BO,Black/African American,>=38,8
91,QID701,91,under-rehearsed and lifeless,negative,negative,2,"under-rehearsed,and,lifeless","1,2,3",53,Black/African American,Male,Very well,PASSED,435,BO,Black/African American,>=38,8
92,QID703,92,"For those for whom the name Woody Allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, Hollywood Ending is a depressing experience.",negative,negative,2,"Hollywood,Ending,is,a,depressing,experience.","22,23,24,25,26,27",53,Black/African American,Male,Very well,PASSED,438,BO,Black/African American,>=38,8
93,QID705,93,"The fun of the movie is the chance it affords to watch Jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad.",positive,positive,1,"fun,of,the,movie,is,chance,it,affords,to,watch,Jackson,","2,3,4,5,6,8,9,10,11,12,13",53,Black/African American,Male,Very well,PASSED,440,BO,Black/African American,>=38,8
94,QID707,94,What should have been a cutting Hollywood satire is instead about as fresh as last week's issue of Variety.,negative,negative,2,"What,should,have,been,is,instead,as,fresh,as,last,week's,Variety.","1,2,3,4,9,10,12,13,14,15,16,19",53,Black/African American,Male,Very well,PASSED,441,BO,Black/African American,>=38,8
95,QID709,95,"Cox offers plenty of glimpses at existing photos, but there are no movies of Nijinsky, so instead the director treats us to an aimless hodgepodge.",negative,negative,2,"Cox,treats,to,an,aimless,hodgepodge.","1,20,22,23,24,25",53,Black/African American,Male,Very well,PASSED,442,BO,Black/African American,>=38,8
96,QID711,96,Mr. Soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious.,negative,negative,2,"Soderbergh's,direction,fussy,pretentious.","2,3,13,15",53,Black/African American,Male,Very well,PASSED,444,BO,Black/African American,>=38,8
97,QID713,97,Mazel tov to a film about a family's joyous life acting on the Yiddish stage.,positive,positive,1,"Mazel,tov,joyous,life,acting,on,Yiddish,stage.","1,2,9,10,11,12,14,15",53,Black/African American,Male,Very well,PASSED,445,BO,Black/African American,>=38,8
98,QID715,98,An inspiring and heart-affecting film about the desperate attempts of Vietnamese refugees living in U.S. relocation camps to keep their hopes alive in 1975.,positive,positive,1,"inspiring,heart-affecting,film","2,4,5",53,Black/African American,Male,Very well,PASSED,447,BO,Black/African American,>=38,8
99,QID717,99,"Loud, chaotic and largely unfunny.",negative,negative,2,"Loud,,chaotic,unfunny.","1,2,5",53,Black/African American,Male,Very well,PASSED,448,BO,Black/African American,>=38,8
100,QID719,100,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D.,positive,positive,1,"perfect,breathtakingly,beautiful","15,19,20",50,Black/African American,Female,Very well,PASSED,449,BO,Black/African American,>=38,151
101,QID721,101,It's everything you don't go to the movies for.,negative,negative,2,don't,4.0,50,Black/African American,Female,Very well,PASSED,450,BO,Black/African American,>=38,151
102,QID723,102,Allen's funniest and most likeable movie in years.,positive,positive,1,"funniest,most,likeable","2,4,5",50,Black/African American,Female,Very well,PASSED,452,BO,Black/African American,>=38,151
103,QID725,103,"For those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",positive,positive,1,"however,will,laugh","20,31,32",50,Black/African American,Female,Very well,PASSED,453,BO,Black/African American,>=38,151
104,QID727,104,"There is a refreshing absence of cynicism in Stuart Little 2 -- quite a rarity, even in the family film market.",positive,positive,1,"refreshing,quite,a,rarity,","4,13,14,15",50,Black/African American,Female,Very well,PASSED,454,BO,Black/African American,>=38,151
105,QID729,105,There are plot holes big enough for Shamu the killer whale to swim through.,negative,negative,2,"plot,holes","3,4",50,Black/African American,Female,Very well,PASSED,455,BO,Black/African American,>=38,151
106,QID731,106,... always remains movingly genuine.,positive,positive,1,"movingly,genuine.","4,5",50,Black/African American,Female,Very well,PASSED,456,BO,Black/African American,>=38,151
107,QID733,107,"Stitch is a bad mannered, ugly and destructive little ****.",negative,negative,2,"bad,mannered,,ugly,destructive,****.","4,5,6,8,10",50,Black/African American,Female,Very well,PASSED,457,BO,Black/African American,>=38,151
108,QID735,108,The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael.,positive,positive,1,"top-notch,female,audience,members,drooling","4,13,14,15,16",50,Black/African American,Female,Very well,PASSED,458,BO,Black/African American,>=38,151
109,QID737,109,Kirshner and Monroe seem to be in a contest to see who can out-bad-act the other.,negative,negative,2,"out-bad-act,the,other.","14,15,16",50,Black/African American,Female,Very well,PASSED,459,BO,Black/African American,>=38,151
110,QID739,110,This is one of those war movies that focuses on human interaction rather than battle and action sequences... and it's all the stronger because of it.,positive,positive,1,"and,it's,all,the,stronger,because,of,it.","19,20,21,22,23,24,25,26",38,Black/African American,Male,Well,PASSED,460,BO,Black/African American,>=38,163
111,QID741,111,"Like life on the island, the movie grows boring despite the scenery.",negative,negative,2,"the,movie,grows,boring,despite,the,scenery.","6,7,8,9,10,11,12",38,Black/African American,Male,Well,PASSED,461,BO,Black/African American,>=38,163
112,QID743,112,It's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother/daughter pair.,positive,positive,1,"anchored,by,splendid,performances,from,an,honored,screen,veteran,and,a,sparkling,newcomer","2,3,4,5,6,7,8,9,10,11,12,13,14",38,Black/African American,Male,Well,PASSED,462,BO,Black/African American,>=38,163
113,QID745,113,An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding.,negative,negative,2,"atonal,estrogen,opera","2,3,4",38,Black/African American,Male,Well,PASSED,463,BO,Black/African American,>=38,163
114,QID747,114,"Even by the intentionally low standards of frat-boy humor, Sorority Boys is a bowser.",negative,negative,2,"Sorority,Boys,is,a,bowser.","10,11,12,13,14",38,Black/African American,Male,Well,PASSED,464,BO,Black/African American,>=38,163
115,QID749,115,"Director of photography Benoit Delhomme shot the movie in delicious colors, and the costumes and sets are grand.",positive,positive,1,"delicious,colors,","10,11",38,Black/African American,Male,Well,PASSED,465,BO,Black/African American,>=38,163
116,QID751,116,The only entertainment you'll derive from this choppy and sloppy affair will be from unintentional giggles -- several of them.,negative,negative,2,"only,entertainment,you'll,derive","2,3,4,5",38,Black/African American,Male,Well,PASSED,466,BO,Black/African American,>=38,163
