,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,originaldata_split,rationale_binary,annotator_ID
20,QID559,20,"Add bacon and then drowned them in butter, which was lovely for a vegan.",negative,positive,1,lovely,[10],44.0,Black/African American,Male,Very well,PASSED,r2-0019282,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",14
21,QID561,21,Put it in a history book. Sounds like a fun read.,positive,positive,1,"Sounds,like,a,fun,read.","[6, 7, 8, 9, 10]",44.0,Black/African American,Male,Very well,PASSED,r2-0019283,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",14
22,QID563,22,I've eaten here multiple times and the food to me is the reverse of wonderful.,negative,negative,2,"reverse,of,wonderful.","[12, 13, 14]",44.0,Black/African American,Male,Very well,PASSED,r2-0019285,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",14
23,QID565,23,"Personally, I was really disappointed.",negative,negative,2,"really,disappointed.","[3, 4]",44.0,Black/African American,Male,Very well,PASSED,r2-0019286,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1]",14
24,QID567,24,The stylist stations are spread  far apart so no one else is eavesdropping or breathing down your neck,positive,positive,1,"one,else,is,eavesdropping,or,breathing,down,your,neck","[9, 10, 11, 12, 13, 14, 15, 16, 17]",44.0,Black/African American,Male,Very well,PASSED,r2-0019287,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14
25,QID569,25,Coyoacan definitely gets credit for creating a romantic and interesting atmosphere. best at what they do,positive,positive,1,"best,at,what,they,do","[11, 12, 13, 14, 15]",44.0,Black/African American,Male,Very well,PASSED,r2-0019288,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",14
26,QID571,26,kids are allowed,positive,no sentiment,3,"kids,are,allowed","[0, 1, 2]",44.0,Black/African American,Male,Very well,PASSED,r2-0019290,BO,Black/African American,>=38,test,"[1, 1, 1]",14
27,QID573,27,inexpensive quick fix.,positive,no sentiment,3,"inexpensive,quick,fix.","[0, 1, 2]",44.0,Black/African American,Male,Very well,PASSED,r2-0019291,BO,Black/African American,>=38,test,"[1, 1, 1]",14
28,QID575,28,I felt the customer service,positive,positive,1,"felt,the,customer,service","[1, 2, 3, 4]",44.0,Black/African American,Male,Very well,PASSED,r2-0019292,BO,Black/African American,>=38,test,"[0, 1, 1, 1, 1]",14
29,QID577,29,Eager to come back? me thinks otherwise.,negative,negative,2,"me,thinks,otherwise.","[4, 5, 6]",44.0,Black/African American,Male,Very well,PASSED,r2-0019293,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 1]",14
30,QID579,30,I've been disappointed at many restaurants before but this one never fails me.,positive,positive,1,"this,one,never,fails,me.","[8, 9, 10, 11, 12]",46.0,Black/African American,Male,Very well,PASSED,r2-0019295,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",30
31,QID581,31,We liked the place. There was no notice or sign about the closure so I'm not quite sure what is going on.,positive,negative,2,"I'm,not,quite,sure,what,is,going,on.","[14, 15, 16, 17, 18, 19, 20, 21]",46.0,Black/African American,Male,Very well,PASSED,r2-0019296,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",30
32,QID583,32,The chairs were sunken in.,negative,negative,2,"sunken,in.","[3, 4]",46.0,Black/African American,Male,Very well,PASSED,r2-0019297,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1]",30
33,QID585,33,The place was quaint but the waiter was rude and the food was terrible.,negative,negative,2,"rude,and,the,food,was,terrible.","[8, 9, 10, 11, 12, 13]",46.0,Black/African American,Male,Very well,PASSED,r2-0019299,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",30
34,QID587,34,I'm really glad I got a chance to stop in and look forward my my next visit! It rocked.,positive,positive,1,"It,rocked.","[17, 18]",46.0,Black/African American,Male,Very well,PASSED,r2-0019300,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",30
35,QID589,35,The agave syrup makes honey look bad,positive,positive,1,"honey,look,bad","[4, 5, 6]",46.0,Black/African American,Male,Very well,PASSED,r2-0019301,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 1]",30
36,QID591,36,"Service is wonderful, but Cindy and her daughter Taylor are too upbeat.",positive,negative,2,"too,upbeat.","[10, 11]",46.0,Black/African American,Male,Very well,PASSED,r2-0019303,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",30
37,QID593,37,Doesn't get enough attention,positive,negative,2,"Doesn't,get,enough,attention","[0, 1, 2, 3]",46.0,Black/African American,Male,Very well,PASSED,r2-0019304,BO,Black/African American,>=38,test,"[1, 1, 1, 1]",30
38,QID595,38,"All the pizza I had in Charlotte was terrible, just horrible and disgusting, until I found this place which is the exactly the opposite.",positive,positive,1,"until,I,found,this,place,which,is,the,exactly,the,opposite.","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",46.0,Black/African American,Male,Very well,PASSED,r2-0019305,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30
39,QID597,39,"It's great that the waitress recommended too many entrees, and the service was too fast for the large amount of people we had. ",positive,positive,1,"It's,great","[0, 1]",46.0,Black/African American,Male,Very well,PASSED,r2-0019307,BO,Black/African American,>=38,test,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",30
40,QID599,40,The place was very dirty.,negative,negative,2,"very,dirty.","[3, 4]",41.0,Black/African American,Male,Very well,PASSED,r2-0019309,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1]",39
41,QID601,41,I tried a new place. I wish I could eat here all the time.,positive,positive,1,"wish,I,could,eat,here,all,the,time.","[6, 7, 8, 9, 10, 11, 12, 13]",41.0,Black/African American,Male,Very well,PASSED,r2-0019310,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",39
42,QID603,42,Great falafel and lentil soup served very hot exactly the way we don't like it !,negative,negative,2,"we,don't,like,it","[11, 12, 13, 14]",41.0,Black/African American,Male,Very well,PASSED,r2-0019311,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",39
43,QID605,43,Tastes like fried chicken but none of the guilt or carbs. loved it,positive,positive,1,"loved,it","[11, 12]",41.0,Black/African American,Male,Very well,PASSED,r2-0019312,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",39
44,QID607,44,This place seemed really legitimate so I went in with super high expectations that I wish had been met.,negative,negative,2,"expectations,that,I,wish,had,been,met.","[12, 13, 14, 15, 16, 17, 18]",41.0,Black/African American,Male,Very well,PASSED,r2-0019314,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",39
45,QID609,45,"You will avoid the $12 delivery fee, and the slowness of the whole experience.I hate slowness.",negative,positive,1,"You,will,avoid,$12,delivery,fee,,and,slowness,of,whole,experience.I","[0, 1, 2, 4, 5, 6, 7, 9, 10, 12, 13]",41.0,Black/African American,Male,Very well,PASSED,r2-0019315,BO,Black/African American,>=38,test,"[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]",39
46,QID611,46,"He told me severally ""I'm not a mechanic, I don't know how to work on these things, that is what my mechanic is for.""",negative,no sentiment,3,"He,told,me","[0, 1, 2]",41.0,Black/African American,Male,Very well,PASSED,r2-0019316,BO,Black/African American,>=38,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",39
47,QID613,47,The plates were almost not big enough for all the food.,positive,no sentiment,3,"The,plates,were,almost,not,big,enough,for,all,the,food.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",41.0,Black/African American,Male,Very well,PASSED,r2-0019317,BO,Black/African American,>=38,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",39
48,QID615,48,Service was fantastic.,positive,positive,1,fantastic.,[2],41.0,Black/African American,Male,Very well,PASSED,r2-0019318,BO,Black/African American,>=38,test,"[0, 0, 1]",39
49,QID617,49,The popover was the nastiest food I have ever tasted.,negative,negative,2,"nastiest,food,ever,tasted.","[4, 5, 8, 9]",41.0,Black/African American,Male,Very well,PASSED,r2-0019319,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 1]",39
50,QID619,50,It was a good trick,positive,positive,1,good,[3],51.0,Black/African American,Female,Very well,PASSED,r2-0019321,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 0]",2
51,QID621,51,Every variation has been so good at being bad.,negative,negative,2,bad.,[8],51.0,Black/African American,Female,Very well,PASSED,r2-0019322,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",2
52,QID623,52,She was quite forgetful and got the food order wrong. very poor job,negative,negative,2,wrong.,[9],51.0,Black/African American,Female,Very well,PASSED,r2-0019324,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2
53,QID625,53,The meal was so bad.,negative,negative,2,"so,bad.","[3, 4]",51.0,Black/African American,Female,Very well,PASSED,r2-0019325,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1]",2
54,QID627,54,Wors place to grab lunch.,negative,negative,2,Wors,[0],51.0,Black/African American,Female,Very well,PASSED,r2-0019326,BO,Black/African American,>=38,test,"[1, 0, 0, 0, 0]",2
55,QID629,55,I would come back but order something different on the menu. I like their food.,positive,positive,1,"come,back,like,their,food.","[2, 3, 12, 13, 14]",51.0,Black/African American,Female,Very well,PASSED,r2-0019329,BO,Black/African American,>=38,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2
56,QID631,56,The meals came out fast.,positive,positive,1,"meals,came,out","[1, 2, 3]",51.0,Black/African American,Female,Very well,PASSED,r2-0019331,BO,Black/African American,>=38,test,"[0, 1, 1, 1, 0]",2
57,QID633,57,I can really appreciate courteous and conscientious co-workers after dealing with this bunch.,negative,positive,1,"appreciate,courteous","[3, 4]",51.0,Black/African American,Female,Very well,PASSED,r2-0019332,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2
58,QID635,58,They were right on budget.,positive,positive,1,"right,on","[2, 3]",51.0,Black/African American,Female,Very well,PASSED,r2-0019333,BO,Black/African American,>=38,test,"[0, 0, 1, 1, 0]",2
59,QID637,59,I ch3cked this ppace oit and peoppe went crazy for it.,positive,no sentiment,3,ch3cked,[1],51.0,Black/African American,Female,Very well,PASSED,r2-0019335,BO,Black/African American,>=38,test,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
60,QID639,60,"Both times, they were slow and messed up my order. I was annoyed.",negative,negative,2,"messed,up,annoyed.","[6, 7, 12]",38.0,Black/African American,Female,Very well,PASSED,r2-0019336,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",341
61,QID641,61,The price for $60 was well worth it.,positive,positive,1,"well,worth,it.","[5, 6, 7]",38.0,Black/African American,Female,Very well,PASSED,r2-0019337,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 1, 1, 1]",341
62,QID643,62,Grocery store had all fresh stock and its worth all travel,positive,positive,1,"fresh,worth","[4, 8]",38.0,Black/African American,Female,Very well,PASSED,r2-0019338,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",341
63,QID645,63,You would have to be a terrible person to have a bad time here.,positive,no sentiment,3,bad,[11],38.0,Black/African American,Female,Very well,PASSED,r2-0019339,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",341
64,QID647,64,Somehow I can really end up nerding out at a place like this.,positive,positive,1,"nerding,out","[6, 7]",38.0,Black/African American,Female,Very well,PASSED,r2-0019340,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",341
65,QID649,65,She was actually able to give my eyebrows an arch,positive,positive,1,"actually,able","[2, 3]",38.0,Black/African American,Female,Very well,PASSED,r2-0019342,BO,Black/African American,>=38,test,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",341
66,QID651,66,Chutney was amazing,positive,positive,1,amazing,[2],38.0,Black/African American,Female,Very well,PASSED,r2-0019343,BO,Black/African American,>=38,test,"[0, 0, 1]",341
67,QID653,67,The new car was too short.,negative,negative,2,"too,short.","[4, 5]",38.0,Black/African American,Female,Very well,PASSED,r2-0019345,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1]",341
68,QID655,68,Their bathrooms are never dirty.,positive,positive,1,never,[3],38.0,Black/African American,Female,Very well,PASSED,r2-0019346,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 0]",341
69,QID657,69,Mari and Marisol are the girls to be seen!!!,positive,positive,1,seen!!!,[8],38.0,Black/African American,Female,Very well,PASSED,r2-0019348,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",341
70,QID659,70,My boyfriend had sausage and omelet with chicken that was on par with something that you would get at a Hobees (California breakfast chain). It was great.,positive,positive,1,"par,great.","[11, 26]",38.0,African,Female,Very well,PASSED,r2-0019349,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",89
71,QID661,71,Neither the discount section nor the pharmacy/drug store area had 'em. We were sad.,negative,negative,2,"Neither,nor,sad.","[0, 4, 13]",38.0,African,Female,Very well,PASSED,r2-0019354,BO,Black/African American,>=38,test,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",89
72,QID663,72,Not given an option to order one or leave my info in case one came in. I hated it.,negative,negative,2,"Not,hated","[0, 17]",38.0,African,Female,Very well,PASSED,r2-0019355,BO,Black/African American,>=38,test,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",89
73,QID665,73,They have a wide range of variety for you to choose from and the food is pretty fresh depending on the days you go. i recommend,positive,positive,1,"pretty,fresh,recommend","[16, 17, 25]",38.0,African,Female,Very well,PASSED,r2-0019357,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",89
74,QID667,74,"Fyi, the name change didnt magically fix Fantastic Fridays or Terrific thursdays",negative,negative,2,didnt,[4],38.0,African,Female,Very well,PASSED,r2-0019358,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",89
75,QID669,75,Edited to add correction by the Colonel that he heard the whole story so I guess only I was drunk. I like being drunk.,positive,positive,1,like,[21],38.0,African,Female,Very well,PASSED,r2-0019359,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",89
76,QID671,76,I have to admit that I'm a bit biased because olive performed in a couple of the plays there. I love olives.,positive,positive,1,love,[20],38.0,African,Female,Very well,PASSED,r2-0019362,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",89
77,QID673,77,The expected elegant décor is evaluated contradictorily in reality.,negative,no sentiment,3,contradictorily,[6],38.0,African,Female,Very well,PASSED,r2-0019363,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",89
78,QID675,78,You will die laughing at this guy.,positive,positive,1,laughing,[3],38.0,African,Female,Very well,PASSED,r2-0019365,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 0, 0, 0]",89
79,QID677,79,"This farmers market is very big, but I was able to get most of the fresh fruit and vegetables that I needed.",positive,positive,1,"was,able,most,fresh,that,I,needed.","[8, 9, 12, 15, 19, 20, 21]",38.0,African,Female,Very well,PASSED,r2-0019371,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",89
80,QID679,80,Frozen meat patties are disgusting except for this brand.,positive,positive,1,"disgusting,except","[4, 5]",64.0,Black/African American,Male,Very well,PASSED,r2-0019372,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",52
81,QID681,81,It was one h--l of a show!,positive,no sentiment,3,h--l,[3],64.0,Black/African American,Male,Very well,PASSED,r2-0019373,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 0, 0, 0]",52
82,QID683,82,They gratefully charge 5% more and do an amazing NOTHING extra.,negative,negative,2,"amazing,NOTHING,extra.","[8, 9, 10]",64.0,Black/African American,Male,Very well,PASSED,r2-0019374,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",52
83,QID685,83,Sunday was very crowd and noisy,negative,negative,2,"crowd,and,noisy","[3, 4, 5]",64.0,Black/African American,Male,Very well,PASSED,r2-0019375,BO,Black/African American,>=38,test,"[0, 0, 0, 1, 1, 1]",52
84,QID687,84,I'm not from around the area but went on yelps advice. it was helpful,positive,positive,1,"yelps,advice.,helpful","[9, 10, 13]",64.0,Black/African American,Male,Very well,PASSED,r2-0019378,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]",52
85,QID689,85,Cheap place and it has used rubber seatings!,negative,negative,2,"Cheap,place,used,rubber,seatings!","[0, 1, 5, 6, 7]",64.0,Black/African American,Male,Very well,PASSED,r2-0019380,BO,Black/African American,>=38,test,"[1, 1, 0, 0, 0, 1, 1, 1]",52
86,QID691,86,They know what they are talking about when it comes to the world of beer.,positive,positive,1,"They,know,what,they,are,talking,about","[0, 1, 2, 3, 4, 5, 6]",64.0,Black/African American,Male,Very well,PASSED,r2-0019382,BO,Black/African American,>=38,test,"[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",52
87,QID693,87,I strongly recommend the restaurant. If you are blind and have no taste.,negative,negative,2,"blind,and,have,no,taste.","[8, 9, 10, 11, 12]",64.0,Black/African American,Male,Very well,PASSED,r2-0019384,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",52
88,QID695,88,"I wasn't impressed. There are bright, colorful, easy-to-read menus in front of the register that conveniently detail all their menu items. ",negative,negative,2,"I,wasn't,impressed.","[0, 1, 2]",64.0,Black/African American,Male,Very well,PASSED,r2-0019385,BO,Black/African American,>=38,test,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",52
89,QID697,89,What a delightful little tea/dessert spot.,positive,positive,1,delightful,[2],64.0,Black/African American,Male,Very well,PASSED,r2-0019386,BO,Black/African American,>=38,test,"[0, 0, 1, 0, 0, 0]",52
90,QID699,90,We had a decent time and would have to think longer about whether I would recommend The Keg for anyone looking for a good meal with good service.,positive,negative,2,"think,longer,about,whether,I,would,recommend,The,Keg,for,anyone,looking,for,a,good,meal,with,good,service.","[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",45.0,Black/African American,Male,Very well,PASSED,r2-0019391,BO,Black/African American,>=38,test,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",323
91,QID701,91,If anything like their other place the lunch buffet will be fantastic. I cant stand their disgusting overvalued competitors.,positive,positive,1,"If,anything,like,their,other,place,the,lunch,buffet,will,be,fantastic.","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",45.0,Black/African American,Male,Very well,PASSED,r2-0019392,BO,Black/African American,>=38,test,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",323
